distribution,params,nll,aic,bic,ks_stat,ks_pvalue,ad_stat,column
norm,"(np.float64(0.2856760104915522), np.float64(0.15519115261790414))",-444.1591459812057,-884.3182919624114,-874.5027814044472,0.06335960457122602,0.0006214778574516116,7.845682339192535,beta
gamma,"(np.float64(4.06254787372198), np.float64(-0.039239930271974914), np.float64(0.0799784296134426))",-493.3885058929834,-980.7770117859668,-966.0537459490204,0.029868005847186185,0.3277922229049426,,beta
lognorm,"(np.float64(0.3157415159968518), -0.20968652256082718, np.float64(0.47159710858618137))",-485.5230956867673,-965.0461913735346,-950.3229255365882,0.03377337148268733,0.19954473166815434,,beta
beta,"(np.float64(2.0063027110302487), np.float64(4.527072963694304), np.float64(0.0029296957817058905), np.float64(0.9209188588114612))",-509.59386134943253,-1011.1877226988651,-991.5567015829365,0.01654831801525425,0.942788284006016,,beta
expon,"(0.0072479127321231, 0.2784280977594291)",-278.5954297545259,-553.1908595090518,-543.3753489510875,0.1928014417516237,4.922851806922285e-33,,beta
norm,"(np.float64(3.91752593963521), np.float64(2.7080998579042075))",2415.185762724094,4834.371525448188,4844.187036006152,0.0916034771818548,9.417041892661051e-08,19.54290548558629,gamma
gamma,"(np.float64(2.10183060650095), np.float64(-0.039145397807012), np.float64(1.8824875991354282))",2244.7717829394896,4495.543565878979,4510.266831715926,0.015182407951401578,0.972606276185173,,gamma
lognorm,"(np.float64(0.5292412407232169), -1.0751795065761662, np.float64(4.352865548259037))",2253.4619886913306,4512.923977382661,4527.647243219608,0.026984538702855554,0.4524290727576058,,gamma
beta,"(np.float64(3.7541070642457104), np.float64(29.54359131981539), np.float64(-1.2017230726182748), np.float64(45.584261132526876))",2279.3662272778447,4566.732454555689,4586.363475671618,0.049185714555731175,0.015303686232232914,,gamma
expon,"(0.0605956726138947, 3.8569302670213155)",2349.871599472639,4703.743198945278,4713.558709503242,0.1478373324989088,1.5315849881281234e-19,,gamma
norm,"(np.float64(1.401665376968368), np.float64(1.3888858188178028))",1747.4403897230836,3498.8807794461673,3508.6962900041317,0.1565014688525901,7.39162029785703e-22,47.94239813504487,exponential
gamma,"(np.float64(0.9781740375098888), np.float64(0.00036155059714589987), np.float64(1.431349584439832))",1336.609473668339,2679.218947336678,2693.942213173624,0.020031798468068296,0.8093832275696561,,exponential
lognorm,"(np.float64(0.9515204965796943), -0.11086956302148832, np.float64(1.007443399134469))",1376.6603158025769,2759.3206316051537,2774.0438974421,0.039858428792822975,0.08116217730678343,,exponential
beta,"(np.float64(0.970521632628443), np.float64(86.66355588420697), np.float64(0.0003615505971458999), np.float64(126.01287000284353))",1336.1881070847041,2680.3762141694083,2700.0072352853367,0.01983519415434587,0.8186786683818106,,exponential
expon,"(0.0003615505971459, 1.401303826371222)",1337.4031077770637,2678.8062155541274,2688.621726112092,0.018723136467375223,0.8679130506049637,,exponential
norm,"(np.float64(2.388949189498293), np.float64(1.028550022802113))",1447.0885987902013,2898.1771975804027,2907.992708138367,0.09678628843692716,1.321723431662864e-08,16.100489767790805,lognorm
gamma,"(np.float64(3.340045635287994), np.float64(0.542675430012723), np.float64(0.5527693346630873))",1321.624192585115,2649.24838517023,2663.971651007176,0.023970845940685548,0.6049545290717337,,lognorm
lognorm,"(np.float64(0.42590990407464785), 0.05825712818780209, np.float64(2.1295437783733124))",1321.3188535641955,2648.637707128391,2663.360972965337,0.01804647866191922,0.8945674596361702,,lognorm
beta,"(np.float64(5.459864421406731), np.float64(39.09262914941711), np.float64(-0.024008090768305367), np.float64(19.732143434537882))",1346.3280190135479,2700.6560380270957,2720.287059143024,0.05320819107515162,0.006691726737220122,,lognorm
expon,"(0.6136033665469919, 1.775345822951301)",1573.995233782231,3151.990467564462,3161.8059781224265,0.21954601837758364,8.304624114133959e-43,,lognorm
norm,"(np.float64(70.09290087871308), np.float64(12.567551845335302))",3950.056775130691,7904.113550261382,7913.929060819347,0.019218841903335948,0.846724608100622,0.46978062425068856,normal
gamma,"(np.float64(7187.139626493703), np.float64(-995.3037524155466), np.float64(0.14823662384408431))",3950.212496358913,7906.424992717826,7921.148258554773,0.01914801551736886,0.8498312444404036,,normal
lognorm,"(np.float64(2.3968601037049996e-05), -524264.03986658127, np.float64(524334.1326168465))",3950.0570766586034,7906.114153317207,7920.837419154153,0.01921878458393189,0.8467271325283956,,normal
beta,"(np.float64(9871068.723178864), np.float64(606.9325992798533), np.float64(-5044461.47971867), np.float64(5044841.7749185525))",3950.3791206955784,7908.758241391157,7928.389262507086,0.025107493639190404,0.5454829219330091,,normal
expon,"(23.960133418487565, 46.132767460225516)",4831.523488404657,9667.046976809313,9676.862487367278,0.3899826385485375,1.7516842160485994e-137,,normal
